,OLPX
Price/Earnings (TTM),13.5075
Price/Sales (TTM),4.78958
Price/Book (MRQ),4.76368
Price/Cash Flow (TTM),10.81071
5yr Low,3.8
5yr High,30.41
5yr Avg Return,-0.32515
Short Int Current Month,18246207.0
Short Int Prev Month,22727015.0
Short Int Pct of Float,0.1470873
Days to Cover,3.88728
Float,647.2184
Shares Outstanding,649.1813
Institutions Holding Shares,228.0
% Held by Institutions,1.018129
FCF Growth 5yr,0.18520901352975883
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
