,OLPX
% Above Low,0.4368
% Held by Institutions,1.0181
52-Wk Range,['3.80 - 30.41']
Annual Dividend $,
Annual Dividend %,
Ask,5.69
Ask Size,300.0
Ask close,5.8
B/A Ratio,4.0
B/A Size,1200x300
Beta,
Bid,5.4
Bid Size,1200.0
Bid close,5.12
Change Since Close,-0.0585| |(-1.07%)
Closing Price,5.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.4
Ex-dividend Date,No dividend
Historical Volatility,1.082
Last (size),7.0
Last (time),1:00p ET 11/25/22
Last Trade,5.4
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",13.51
Prev Close,5.46
Shares Outstanding,649.2M
Short Interest,0.1471
Today's Open,
Volume,92.0
Volume 10-day Avg,3384189.0
Volume Past Day,(Light)
