,OLPX
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.15151515151515138
Growth 1yr High Est,0.125
Growth 1yr Consensus Est,0.1382575757575757
Growth 2yr Low Est,-0.029505582137161146
Growth 2yr High Est,0.1513888888888889
Growth 2yr Consensus Est,0.06094165337586388
Growth 5yr Low Est,-0.029505582137161146
Growth 5yr High Est,0.1513888888888889
Growth 5yr Consensus Est,0.06094165337586388
Growth 5yr Actual/Est,0.015909090909090817
Growth 3yr Historic,0.0
