,DPZ
% Above Low,0.2994
% Held by Institutions,0.9122
52-Wk Range,['299.41 - 567.57']
Annual Dividend $,4.4
Annual Dividend %,0.0113
Ask,389.79
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.7
Bid,388.22
Bid Size,300.0
Closing Price,389.06
Day Change $,-2.68
Day Change %,-0.0068000000000000005
Day High,395.0
Day Low,387.31
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",12.39
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.34299999999999997
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,13.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.39
Prev Close,391.74
Shares Outstanding,35.4M
Short Interest,0.0473
Today's Open,392.56
Volume,184942.0
Volume 10-day Avg,573001.0
Volume Past Day,(Light)
