,DPZ
Price/Earnings (TTM),31.39497
Price/Sales (TTM),3.06864
Price/Book (MRQ),
Price/Cash Flow (TTM),26.06569
5yr Low,168.56
5yr High,567.57
5yr Avg Return,0.18076666666666663
EPS Growth 5yr,0.2579092
Revenue Growth 5yr,0.1199875
Dividend Growth 5yr,0.19858499999999998
Short Int Current Month,1666114.0
Short Int Prev Month,1462984.0
Short Int Pct of Float,0.0473462
Days to Cover,2.19957
Float,35.19353
Shares Outstanding,35.39938
Institutions Holding Shares,868.0
% Held by Institutions,0.912193
FCF Growth 5yr,0.4118958777540868
