,SAIC
Price/Earnings (TTM),24.19535
Price/Sales (TTM),0.81227
Price/Book (MRQ),3.70271
Price/Cash Flow (TTM),14.18073
5yr Low,45.45
5yr High,113.03
5yr Avg Return,0.09286666666666667
EPS Growth 5yr,0.0888197
Revenue Growth 5yr,0.1072869
Dividend Growth 5yr,0.0360197
Short Int Current Month,1623893.0
Short Int Prev Month,1660148.0
Short Int Pct of Float,0.029640399999999997
Days to Cover,5.05013
Float,54.81137
Shares Outstanding,55.12806
Institutions Holding Shares,436.0
% Held by Institutions,0.7737529999999999
FCF Growth 5yr,0.22084952774220387
