,SAIC
% Below High,0.0263
% Held by Institutions,0.7737999999999999
52-Wk Range,['78.10 - 113.03']
Annual Dividend $,1.48
Annual Dividend %,0.0134
Ask,110.12
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,109.98
Bid Size,100.0
Day Change $,-0.55
Day Change %,-0.005
Day High,110.97
Day Low,109.67
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",4.57
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.267
Last (size),7.0
Last (time),1:34p ET 11/28/22
Market Cap,6.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.2
Prev Close,110.61
Price,110.06
Shares Outstanding,55.1M
Short Interest,0.0296
Today's Open,109.67
Volume Past Day,(Light)
