,XPO
Price/Earnings (TTM),4.91771
Price/Sales (TTM),0.33078
Price/Book (MRQ),2.42427
Price/Cash Flow (TTM),3.1999
5yr Low,30.54
5yr High,153.45
5yr Avg Return,-0.02735000000000003
EPS Growth 5yr,0.3991266
Revenue Growth 5yr,-0.0261341
Dividend Growth 5yr,
Short Int Current Month,5429248.0
Short Int Prev Month,3601574.0
Short Int Pct of Float,0.0484522
Days to Cover,2.151
Float,113.3567
Shares Outstanding,115.1626
Institutions Holding Shares,576.0
% Held by Institutions,0.9098430000000001
FCF Growth 5yr,0.4089171036631707
