,XPO
% Below High,0.2348
% Held by Institutions,0.9098
52-Wk Range,['24.75 - 48.13']
Annual Dividend $,
Annual Dividend %,
Ask,40.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.1
Bid,36.83
Bid Size,100.0
Closing Price,36.83
Day Change $,-0.82
Day Change %,-0.0218
Day High,37.84
Day Low,36.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.66
Ex-dividend Date,No dividend
Historical Volatility,1.7890000000000001
Last (size),10.0
Last (time),7:00p ET 11/28/22
Market Cap,4.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",4.92
Prev Close,37.65
Shares Outstanding,115.2M
Short Interest,0.048499999999999995
Today's Open,37.04
Volume,1009560.0
Volume 10-day Avg,1360892.0
Volume Past Day,(Light)
