,XPO
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.24444444444444446
Growth 1yr High Est,0.27659574468085113
Growth 1yr Consensus Est,0.2605200945626478
Growth 2yr Low Est,-0.09503968253968254
Growth 2yr High Est,-0.03299842395587077
Growth 2yr Consensus Est,-0.06401905324777665
Growth 5yr Low Est,-0.02966269841269842
Growth 5yr High Est,-0.006671202149925531
Growth 5yr Consensus Est,-0.018166950281311975
Growth 5yr Actual/Est,0.12198315204856466
Growth 3yr Historic,0.15951569694949574
