,AGCO
% Below High,0.1162
% Held by Institutions,0.8117
52-Wk Range,['88.55 - 150.28']
Annual Dividend $,0.96
Annual Dividend %,0.0072
Ask,143.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,132.84
Bid Size,100.0
Closing Price,132.81
Day Change $,2.2
Day Change %,0.0168
Day High,133.0
Day Low,129.63
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",11.32
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.433
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,9.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.74
Prev Close,130.61
Shares Outstanding,74.6M
Short Interest,0.014499999999999999
Today's Open,130.37
Volume,297915.0
Volume 10-day Avg,543622.0
Volume Past Day,(Light)
