,AGCO
Price/Earnings (TTM),11.73564
Price/Sales (TTM),0.83201
Price/Book (MRQ),2.81427
Price/Cash Flow (TTM),9.39978
5yr Low,35.33
5yr High,158.62
5yr Avg Return,0.12763333333333335
EPS Growth 5yr,0.4331954
Revenue Growth 5yr,0.0849114
Dividend Growth 5yr,
Short Int Current Month,895893.0
Short Int Prev Month,1053548.0
Short Int Pct of Float,0.0144899
Days to Cover,1.39909
Float,61.93447
Shares Outstanding,74.59808
Institutions Holding Shares,601.0
% Held by Institutions,0.8116889999999999
FCF Growth 5yr,-0.9164860173926717
