,SMTC
% Above Low,0.1562
% Held by Institutions,0.963
52-Wk Range,['25.29 - 92.15']
Annual Dividend $,
Annual Dividend %,
Ask,29.24
Ask Size,300.0
B/A Ratio,2.0
B/A Size,600x300
Beta,1.7
Bid,29.22
Bid Size,600.0
Day Change $,-0.37
Day Change %,-0.0125
Day High,29.5
Day Low,28.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.46
Ex-dividend Date,No dividend
Historical Volatility,0.564
Last (size),9.0
Last (time),2:42p ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.05
Prev Close,29.61
Price,29.24
Shares Outstanding,63.5M
Short Interest,0.0786
Today's Open,29.12
Volume Past Day,(Average)
