,SMTC
Price/Earnings (TTM),12.05423
Price/Sales (TTM),2.36009
Price/Book (MRQ),2.35426
Price/Cash Flow (TTM),10.01133
5yr Low,25.29
5yr High,94.92
5yr Avg Return,0.048016666666666666
EPS Growth 5yr,0.1831081
Revenue Growth 5yr,0.0636134
Dividend Growth 5yr,
Short Int Current Month,4933147.0
Short Int Prev Month,4926038.0
Short Int Pct of Float,0.0785782
Days to Cover,4.81044
Float,62.8197
Shares Outstanding,63.51634
Institutions Holding Shares,373.0
% Held by Institutions,0.962951
FCF Growth 5yr,0.4110779031465365
