,SEAS
Price/Earnings (TTM),12.15406
Price/Sales (TTM),1.99811
Price/Book (MRQ),
Price/Cash Flow (TTM),7.31289
5yr Low,6.75
5yr High,76.57
5yr Avg Return,0.36045
EPS Growth 5yr,
Revenue Growth 5yr,0.0226694
Dividend Growth 5yr,
Short Int Current Month,3261398.0
Short Int Prev Month,2904671.0
Short Int Pct of Float,0.0916348
Days to Cover,3.18541
Float,35.63919
Shares Outstanding,63.88652
Institutions Holding Shares,299.0
% Held by Institutions,1.04047
FCF Growth 5yr,
