,SEAS
% Above Low,0.33649999999999997
% Held by Institutions,1.0405
52-Wk Range,['40.01 - 76.57']
Annual Dividend $,
Annual Dividend %,
Ask,53.5
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.0
Bid,53.44
Bid Size,200.0
Day Change $,-0.055
Day Change %,-0.001
Day High,53.86
Day Low,53.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.4
Ex-dividend Date,No dividend
Historical Volatility,0.527
Last (size),1.0
Last (time),1:54p ET 11/28/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",12.15
Prev Close,53.53
Price,53.48
Shares Outstanding,63.9M
Short Interest,0.0916
Today's Open,53.04
Volume Past Day,(Light)
