,SEAS
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-1.9223529411764706
Growth 1yr High Est,-2.1278772378516626
Growth 1yr Consensus Est,-2.025115089514067
Growth 2yr Low Est,-0.9637274909963985
Growth 2yr High Est,-0.9687005236877361
Growth 2yr Consensus Est,-0.9662140073420673
Growth 5yr Low Est,-0.6424849939975991
Growth 5yr High Est,-0.6458003491251574
Growth 5yr Consensus Est,-0.6441426715613783
Growth 5yr Actual/Est,-1.4932858751253315
Growth 3yr Historic,-1.608572567783094
