,CDW
Price/Earnings (TTM),24.74196
Price/Sales (TTM),1.06849
Price/Book (MRQ),19.20321
Price/Cash Flow (TTM),19.42266
5yr Low,66.54
5yr High,208.71
5yr Avg Return,0.22990000000000005
EPS Growth 5yr,0.22403089999999998
Revenue Growth 5yr,0.0877488
Dividend Growth 5yr,0.2864423
Short Int Current Month,1471994.0
Short Int Prev Month,1680887.0
Short Int Pct of Float,0.0109169
Days to Cover,2.19152
Float,134.8571
Shares Outstanding,135.391
Institutions Holding Shares,1067.0
% Held by Institutions,0.965773
FCF Growth 5yr,0.32558881127669154
