,CDW
% Below High,0.09820000000000001
% Held by Institutions,0.9658
52-Wk Range,['147.91 - 208.71']
Annual Dividend $,2.36
Annual Dividend %,0.0125
Ask,201.97
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,75.45
Bid Size,200.0
Closing Price,188.2
Day Change $,-1.04
Day Change %,-0.0055000000000000005
Day High,189.43
Day Low,188.0
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",7.61
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.318
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,25.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.74
Prev Close,189.24
Shares Outstanding,135.4M
Short Interest,0.0109
Today's Open,188.78
Volume,231939.0
Volume 10-day Avg,431609.0
Volume Past Day,(Light)
