,SBH
% Above Low,0.0248
% Held by Institutions,1.1322
52-Wk Range,['11.28 - 21.05']
Annual Dividend $,
Annual Dividend %,
Ask,11.58
Ask Size,700.0
B/A Ratio,1.1428571428571428
B/A Size,800x700
Beta,1.3
Bid,11.57
Bid Size,800.0
Day Change $,-0.08
Day Change %,-0.0069
Day High,11.58
Day Low,11.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.65
Ex-dividend Date,No dividend
Historical Volatility,0.485
Last (size),100.0
Last (time),1:43p ET 11/28/22
Market Cap,1.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.04
Prev Close,11.64
Price,11.56
Shares Outstanding,107.0M
Short Interest,0.1168
Today's Open,11.5
Volume Past Day,(Light)
