,SBH
Price/Earnings (TTM),7.04042
Price/Sales (TTM),0.32656
Price/Book (MRQ),4.24039
Price/Cash Flow (TTM),4.39537
5yr Low,6.28
5yr High,25.66
5yr Avg Return,-0.019566666666666663
EPS Growth 5yr,0.0134693
Revenue Growth 5yr,-0.0063129
Dividend Growth 5yr,
Short Int Current Month,12320694.0
Short Int Prev Month,13188844.0
Short Int Pct of Float,0.1168311
Days to Cover,6.65293
Float,105.5284
Shares Outstanding,107.045
Institutions Holding Shares,273.0
% Held by Institutions,1.132222
FCF Growth 5yr,-1.444530129762616
