,CEIX
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,2.014705882352941
Growth 1yr High Est,2.2500000000000004
Growth 1yr Consensus Est,2.132352941176471
Growth 2yr Low Est,1.3854017216642753
Growth 2yr High Est,1.9123303167420815
Growth 2yr Consensus Est,1.6488660192031785
Growth 5yr Low Est,0.6927008608321377
Growth 5yr High Est,0.9561651583710408
Growth 5yr Consensus Est,0.8244330096015893
Growth 5yr Actual/Est,1.6819889893484223
Growth 3yr Historic,-1.1749270577395579
