,CEIX
% Below High,0.13390000000000002
% Held by Institutions,0.8776
52-Wk Range,['19.11 - 79.17']
Annual Dividend $,4.2
Annual Dividend %,0.0613
Ask,73.94
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,68.57
Bid Size,100.0
Closing Price,68.57
Day Change $,-0.67
Day Change %,-0.0097
Day High,69.88
Day Low,67.73
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",10.71
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.679
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",6.4
Prev Close,69.24
Shares Outstanding,34.9M
Short Interest,0.042800000000000005
Today's Open,69.08
Volume,261414.0
Volume 10-day Avg,633958.0
Volume Past Day,(Light)
