,CEIX
Price/Earnings (TTM),6.40082
Price/Sales (TTM),1.16699
Price/Book (MRQ),2.60914
Price/Cash Flow (TTM),3.87917
5yr Low,3.35
5yr High,79.17
5yr Avg Return,0.6172166666666666
EPS Growth 5yr,-0.0824409
Revenue Growth 5yr,0.0114419
Dividend Growth 5yr,
Short Int Current Month,1464772.0
Short Int Prev Month,1843283.0
Short Int Pct of Float,0.042801900000000004
Days to Cover,1.68669
Float,34.22213
Shares Outstanding,34.87136
Institutions Holding Shares,281.0
% Held by Institutions,0.877641
FCF Growth 5yr,0.4734567204731926
