,AX
% Above Low,0.18670000000000003
% Held by Institutions,0.7938
52-Wk Range,['33.91 - 61.79']
Annual Dividend $,
Annual Dividend %,
Ask,40.62
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.4
Bid,
Bid Size,
Closing Price,40.24
Day Change $,0.49
Day Change %,0.0123
Day High,40.68
Day Low,39.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.96
Ex-dividend Date,No dividend
Historical Volatility,0.418
Last (size),27.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
"P/E Ratio (TTM, GAAP)",10.16
Prev Close,39.75
Shares Outstanding,60.0M
Short Interest,0.0358
Today's Open,39.91
Volume,104327.0
Volume 10-day Avg,277464.0
Volume Past Day,(Light)
