,AX
Price/Earnings (TTM),10.15587
Price/Sales (TTM),3.13138
Price/Book (MRQ),1.41939
Price/Cash Flow (TTM),9.12524
5yr Low,13.69
5yr High,62.44
5yr Avg Return,0.10558333333333332
EPS Growth 5yr,0.1388668
Revenue Growth 5yr,0.1124145
Dividend Growth 5yr,
Short Int Current Month,1913047.0
Short Int Prev Month,2349336.0
Short Int Pct of Float,0.035763500000000004
Days to Cover,6.49971
Float,53.52116
Shares Outstanding,59.99934
Institutions Holding Shares,326.0
% Held by Institutions,0.793755
FCF Growth 5yr,0.08866570817734547
