,AX
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.14285714285714302
Growth 1yr High Est,0.1613691931540342
Growth 1yr Consensus Est,0.1521131680055886
Growth 2yr Low Est,0.12824675324675328
Growth 2yr High Est,0.117526701840175
Growth 2yr Consensus Est,0.12288672754346414
Growth 5yr Low Est,0.11674783549783552
Growth 5yr High Est,0.12162921927466545
Growth 5yr Consensus Est,0.11918852738625048
Growth 5yr Actual/Est,0.13940500572852277
Growth 3yr Historic,0.07744985295226609
