,EB
Price/Earnings (TTM),
Price/Sales (TTM),2.8098
Price/Book (MRQ),4.66064
Price/Cash Flow (TTM),
5yr Low,5.71
5yr High,40.25
5yr Avg Return,-0.24922000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.0698797
Dividend Growth 5yr,
Short Int Current Month,15332556.0
Short Int Prev Month,15876911.0
Short Int Pct of Float,0.19247250000000002
Days to Cover,13.3697
Float,79.80311
Shares Outstanding,98.69016
Institutions Holding Shares,209.0
% Held by Institutions,0.972358
FCF Growth 5yr,-0.11600137910864643
