,ENV
Price/Earnings (TTM),
Price/Sales (TTM),2.5476
Price/Book (MRQ),3.42963
Price/Cash Flow (TTM),43.73655
5yr Low,41.72
5yr High,92.51
5yr Avg Return,0.04909999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.15463459999999998
Dividend Growth 5yr,
Short Int Current Month,2653680.0
Short Int Prev Month,2698743.0
Short Int Pct of Float,0.0503044
Days to Cover,2.882
Float,52.7897
Shares Outstanding,55.32614
Institutions Holding Shares,328.0
% Held by Institutions,1.0185009999999999
FCF Growth 5yr,-0.7405759662933321
