,ENV
% Above Low,0.3979
% Held by Institutions,1.0185
52-Wk Range,['41.72 - 84.58']
Annual Dividend $,
Annual Dividend %,
Ask,90.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,23.42
Bid Size,200.0
Closing Price,58.32
Day Change $,0.97
Day Change %,0.0169
Day High,58.76
Day Low,56.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.9
Ex-dividend Date,No dividend
Historical Volatility,0.37200000000000005
Last (size),26.0
Last (time),5:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,57.35
Shares Outstanding,55.3M
Short Interest,0.050300000000000004
Today's Open,57.24
Volume,108677.0
Volume 10-day Avg,995985.0
Volume Past Day,(Light)
