,DE
Price/Earnings (TTM),18.92646
Price/Sales (TTM),2.55008
Price/Book (MRQ),6.57607
Price/Cash Flow (TTM),14.78193
5yr Low,106.14
5yr High,448.4
5yr Avg Return,0.2138166666666667
EPS Growth 5yr,0.2837825
Revenue Growth 5yr,0.1193282
Dividend Growth 5yr,0.12265549999999999
Short Int Current Month,3311368.0
Short Int Prev Month,3320303.0
Short Int Pct of Float,0.010993200000000002
Days to Cover,1.86588
Float,301.2839
Shares Outstanding,301.8196
Institutions Holding Shares,2495.0
% Held by Institutions,0.759879
FCF Growth 5yr,-0.6265916739465013
