,DE
% Below High,0.0155
% Held by Institutions,0.7598999999999999
52-Wk Range,['283.81 - 448.40']
Annual Dividend $,4.52
Annual Dividend %,0.0102
Ask,441.29
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.1
Bid,439.5
Bid Size,300.0
Closing Price,441.47
Day Change $,3.95
Day Change %,0.009000000000000001
Day High,442.41
Day Low,432.55
Dividend Pay Date,2022-11-08 00:00:00
"EPS (TTM, GAAP)",23.33
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.36100000000000004
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,133.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.93
Prev Close,437.52
Shares Outstanding,301.8M
Short Interest,0.011000000000000001
Today's Open,435.77
Volume,1135508.0
Volume 10-day Avg,1940150.0
Volume Past Day,(Light)
