,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 10/2020,Positive Surprise,8.69,,,,,,,7.74,8.69,,
Year ending 10/2021,Neutral,18.99,,1.1852704257767548,18.42,,19.25,,18.835,18.99,1.1852704257767548,
Year ending 10/2022,Neutral,23.28,,0.22590837282780418,22.5,0.22149837133550476,23.25,0.20779220779220786,22.875,23.28,0.22590837282780418,0.2146452895638563
Year ending 10/2023,Neutral,,27.43,0.0,24.4,0.08444444444444432,29.62,0.27397849462365587,27.43,27.43,0.1782646048109966,0.1792114695340501
Year ending 10/2024,Neutral,,29.12,0.0,24.38,-0.0008196721311475308,33.0,0.11411208642808912,29.12,29.12,0.06161137440758302,0.056646207148470795
