,EXPD
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,1.2005141388174807
Growth 1yr High Est,1.3503649635036497
Growth 1yr Consensus Est,1.2754395511605652
Growth 2yr Low Est,0.3923131441750955
Growth 2yr High Est,0.530772543863626
Growth 2yr Consensus Est,0.46154284401936074
Growth 5yr Low Est,0.23302972842973066
Growth 5yr High Est,0.30159797109615843
Growth 5yr Consensus Est,0.26731384976294453
Growth 5yr Actual/Est,0.2390586271378551
Growth 3yr Historic,0.30813275061062667
