,EXPD
% Below High,0.1816
% Held by Institutions,0.9521999999999999
52-Wk Range,['86.08 - 137.80']
Annual Dividend $,1.34
Annual Dividend %,0.011899999999999999
Ask,113.29
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,112.25
Bid Size,100.0
Closing Price,112.77
Day Change $,-1.22
Day Change %,-0.010700000000000001
Day High,114.23
Day Low,111.18
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",9.51
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.317
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,17.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.86
Prev Close,113.99
Shares Outstanding,159.1M
Short Interest,0.06
Today's Open,113.61
Volume,1428000.0
Volume 10-day Avg,2040190.0
Volume Past Day,(Light)
