,EXPD
Price/Earnings (TTM),11.85768
Price/Sales (TTM),0.94322
Price/Book (MRQ),5.15334
Price/Cash Flow (TTM),10.84213
5yr Low,52.55
5yr High,137.8
5yr Avg Return,0.12065000000000003
EPS Growth 5yr,0.2851342
Revenue Growth 5yr,0.2206256
Dividend Growth 5yr,0.0771436
Short Int Current Month,9489748.0
Short Int Prev Month,8825288.0
Short Int Pct of Float,0.0599947
Days to Cover,5.25745
Float,158.2158
Shares Outstanding,159.1364
Institutions Holding Shares,1045.0
% Held by Institutions,0.952245
FCF Growth 5yr,0.49757525083612036
