,CNP
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.08029197080291972
Growth 2yr High Est,0.07857142857142874
Growth 2yr Consensus Est,0.07943169968717423
Growth 5yr Low Est,0.08029197080291972
Growth 5yr High Est,0.07857142857142874
Growth 5yr Consensus Est,0.07943169968717423
Growth 5yr Actual/Est,-0.031736275472643516
Growth 3yr Historic,-0.0116121308858739
