,CNP
Price/Earnings (TTM),21.52596
Price/Sales (TTM),2.18969
Price/Book (MRQ),2.12376
Price/Cash Flow (TTM),8.82601
5yr Low,11.58
5yr High,33.5
5yr Avg Return,0.018899999999999997
EPS Growth 5yr,-0.0117051
Revenue Growth 5yr,0.0209916
Dividend Growth 5yr,-0.0879572
Short Int Current Month,11864444.0
Short Int Prev Month,12620537.0
Short Int Pct of Float,0.018873
Days to Cover,2.71758
Float,628.7014
Shares Outstanding,629.5356
Institutions Holding Shares,836.0
% Held by Institutions,0.91876
FCF Growth 5yr,0.8067348412271519
