,CNP
% Below High,0.07339999999999999
% Held by Institutions,0.9188
52-Wk Range,['25.03 - 33.50']
Annual Dividend $,0.72
Annual Dividend %,0.0232
Ask,32.0
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,0.9
Bid,27.07
Bid Size,400.0
Closing Price,31.04
Day Change $,0.23
Day Change %,0.0075
Day High,31.19
Day Low,30.89
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",1.44
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.23600000000000002
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,19.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.53
Prev Close,30.81
Shares Outstanding,629.5M
Short Interest,0.0189
Today's Open,30.89
Volume,1060521.0
Volume 10-day Avg,3356185.0
Volume Past Day,(Light)
