,CLOV
Price/Earnings (TTM),
Price/Sales (TTM),0.20484
Price/Book (MRQ),1.56611
Price/Cash Flow (TTM),
5yr Low,1.21
5yr High,28.85
5yr Avg Return,-0.2598666666666667
Short Int Current Month,29736860.0
Short Int Prev Month,30947866.0
Short Int Pct of Float,0.0867569
Days to Cover,3.02211
Float,346.3558
Shares Outstanding,477.9438
Institutions Holding Shares,212.0
% Held by Institutions,0.316934
FCF Growth 5yr,-0.38534757092968003
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
