,DXLG
% Below High,0.1056
% Held by Institutions,0.7145999999999999
52-Wk Range,['3.27 - 8.05']
Annual Dividend $,
Annual Dividend %,
Ask,7.2
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.6
Bid,7.0
Bid Size,600.0
Closing Price,7.2
Day Change $,0.1
Day Change %,0.0141
Day High,7.21
Day Low,7.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.35
Ex-dividend Date,No dividend
Historical Volatility,0.682
Last (size),50.0
Last (time),12:59p ET 11/25/22
Market Cap,449.8M
"P/E Ratio (TTM, GAAP)",5.33
Prev Close,7.1
Shares Outstanding,62.5M
Short Interest,0.0695
Today's Open,7.08
Volume,470960.0
Volume 10-day Avg,1107777.0
Volume Past Day,(Light)
