,DXLG
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-10.214285714285714
Growth 1yr High Est,-10.5
Growth 1yr Consensus Est,-10.357142857142858
Growth 2yr Low Est,-5.347452934662236
Growth 2yr High Est,-5.453007518796992
Growth 2yr Consensus Est,-5.400230226729614
Growth 5yr Low Est,-3.5649686231081574
Growth 5yr High Est,-3.6353383458646618
Growth 5yr Consensus Est,-3.6001534844864103
Growth 5yr Actual/Est,-2.2643354223874774
Growth 3yr Historic,-2.3095238095238093
