,JNJ
Price/Earnings (TTM),24.67541
Price/Sales (TTM),4.82493
Price/Book (MRQ),6.21746
Price/Cash Flow (TTM),17.68803
5yr Low,109.16
5yr High,186.69
5yr Avg Return,0.04451666666666666
EPS Growth 5yr,0.0565378
Revenue Growth 5yr,0.0545902
Dividend Growth 5yr,0.058719
Short Int Current Month,12663666.0
Short Int Prev Month,12348035.0
Short Int Pct of Float,0.0048492000000000006
Days to Cover,1.81408
Float,2612.042
Shares Outstanding,2614.484
Institutions Holding Shares,4492.0
% Held by Institutions,0.678669
FCF Growth 5yr,0.4096399899391119
