,AN
Price/Earnings (TTM),4.91591
Price/Sales (TTM),0.2219
Price/Book (MRQ),2.78732
Price/Cash Flow (TTM),3.55486
5yr Low,20.59
5yr High,135.57
5yr Avg Return,0.19175
EPS Growth 5yr,0.3450669
Revenue Growth 5yr,0.036442
Dividend Growth 5yr,
Short Int Current Month,6549262.0
Short Int Prev Month,6952819.0
Short Int Pct of Float,0.1631703
Days to Cover,6.94134
Float,40.13119
Shares Outstanding,49.57235
Institutions Holding Shares,549.0
% Held by Institutions,0.942111
FCF Growth 5yr,0.10381908221944795
