,AN
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.3983402489626555
Growth 1yr High Est,0.40290990486849454
Growth 1yr Consensus Est,0.40062507691557503
Growth 2yr Low Est,0.05101412617696155
Growth 2yr High Est,0.22000301785108012
Growth 2yr Consensus Est,0.13550857201402083
Growth 5yr Low Est,0.7609042593501629
Growth 5yr High Est,0.8707481152603816
Growth 5yr Consensus Est,0.8158261873052723
Growth 5yr Actual/Est,0.5703944047700457
Growth 3yr Historic,0.5281469934559821
