,AN
% Below High,0.1128
% Held by Institutions,0.9420999999999999
52-Wk Range,['94.92 - 135.57']
Annual Dividend $,
Annual Dividend %,
Ask,122.0
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.1
Bid,20.0
Bid Size,400.0
Closing Price,120.28
Day Change $,1.11
Day Change %,0.009300000000000001
Day High,121.19
Day Low,118.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",24.47
Ex-dividend Date,No dividend
Historical Volatility,0.438
Last (size),70.0
Last (time),5:00p ET 11/25/22
Market Cap,6.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.92
Prev Close,119.17
Shares Outstanding,49.6M
Short Interest,0.1632
Today's Open,118.56
Volume,222693.0
Volume 10-day Avg,696531.0
Volume Past Day,(Light)
