,DSGN
% Above Low,0.5328
% Held by Institutions,0.7042
52-Wk Range,['9.61 - 26.30']
Annual Dividend $,
Annual Dividend %,
Ask,16.3
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,14.2
Bid Size,100.0
Closing Price,14.73
Day Change $,0.35
Day Change %,0.024300000000000002
Day High,15.02
Day Low,14.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.03
Ex-dividend Date,No dividend
Historical Volatility,0.8240000000000001
Last (size),16.0
Last (time),12:59p ET 11/25/22
Market Cap,823.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,14.38
Shares Outstanding,55.9M
Short Interest,0.1433
Today's Open,14.4
Volume,72459.0
Volume 10-day Avg,310665.0
Volume Past Day,(Light)
