,DSGN
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.41256
Price/Cash Flow (TTM),
5yr Low,9.61
5yr High,50.5
5yr Avg Return,-0.27595
Short Int Current Month,5068739.0
Short Int Prev Month,5159353.0
Short Int Pct of Float,0.1433499
Days to Cover,16.4807
Float,35.35921
Shares Outstanding,55.91007
Institutions Holding Shares,122.0
% Held by Institutions,0.704238
FCF Growth 5yr,0.30502168661006457
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
