,DSGN
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.38372093023255816
Growth 1yr High Est,0.527027027027027
Growth 1yr Consensus Est,0.45537397862979256
Growth 2yr Low Est,0.3809360953683799
Growth 2yr High Est,0.36970820377900027
Growth 2yr Consensus Est,0.3753221495736901
Growth 5yr Low Est,0.3809360953683799
Growth 5yr High Est,0.36970820377900027
Growth 5yr Consensus Est,0.3753221495736901
Growth 5yr Actual/Est,0.4007659007659008
Growth 3yr Historic,0.0
