,CB
Price/Earnings (TTM),15.08965
Price/Sales (TTM),2.12553
Price/Book (MRQ),1.88375
Price/Cash Flow (TTM),13.97047
5yr Low,87.35
5yr High,218.99
5yr Avg Return,0.07511666666666666
EPS Growth 5yr,0.1677092
Revenue Growth 5yr,0.053459700000000006
Dividend Growth 5yr,0.030442200000000003
Short Int Current Month,1914256.0
Short Int Prev Month,2126090.0
Short Int Pct of Float,0.0046369
Days to Cover,0.98758
Float,413.1759
Shares Outstanding,415.0503
Institutions Holding Shares,1785.0
% Held by Institutions,0.8712350000000001
FCF Growth 5yr,
