,CB
% Below High,0.0126
% Held by Institutions,0.8712000000000001
52-Wk Range,['173.78 - 218.99']
Annual Dividend $,3.32
Annual Dividend %,0.0154
Ask,230.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,202.0
Bid Size,100.0
Closing Price,216.23
Day Change $,2.08
Day Change %,0.0097
Day High,216.59
Day Low,214.66
Dividend Pay Date,2023-01-06 00:00:00
"EPS (TTM, GAAP)",14.33
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.242
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,89.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.09
Prev Close,214.15
Shares Outstanding,415.1M
Short Interest,0.0046
Today's Open,215.0
Volume,639352.0
Volume 10-day Avg,1436028.0
Volume Past Day,(Light)
