,CEVA
Price/Earnings (TTM),
Price/Sales (TTM),4.70084
Price/Book (MRQ),2.52097
Price/Cash Flow (TTM),
5yr Low,20.4
5yr High,83.95
5yr Avg Return,-0.024916666666666656
EPS Growth 5yr,-0.510742
Revenue Growth 5yr,0.11050990000000001
Dividend Growth 5yr,
Short Int Current Month,527187.0
Short Int Prev Month,633712.0
Short Int Pct of Float,0.024085899999999997
Days to Cover,5.43464
Float,21.88545
Shares Outstanding,23.18765
Institutions Holding Shares,223.0
% Held by Institutions,0.87524
FCF Growth 5yr,-1.4024029715912614
