,USPH
Price/Earnings (TTM),28.45244
Price/Sales (TTM),2.04121
Price/Book (MRQ),3.48709
Price/Cash Flow (TTM),16.13909
5yr Low,45.13
5yr High,148.48
5yr Avg Return,0.04418333333333334
EPS Growth 5yr,0.0799058
Revenue Growth 5yr,0.06782919999999999
Dividend Growth 5yr,0.022494399999999998
Short Int Current Month,711612.0
Short Int Prev Month,671941.0
Short Int Pct of Float,0.0558591
Days to Cover,9.19122
Float,12.74201
Shares Outstanding,13.00159
Institutions Holding Shares,272.0
% Held by Institutions,1.020948
FCF Growth 5yr,0.3762516903912891
