,USPH
% Above Low,0.1293
% Held by Institutions,1.0209000000000001
52-Wk Range,['73.30 - 131.50']
Annual Dividend $,1.64
Annual Dividend %,0.019299999999999998
Ask,132.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,33.25
Bid Size,100.0
Closing Price,82.78
Day Change $,-2.28
Day Change %,-0.0268
Day High,85.21
Day Low,82.57
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",2.99
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.455
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,1.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.45
Prev Close,85.06
Shares Outstanding,13.0M
Short Interest,0.0559
Today's Open,85.01
Volume,48029.0
Volume 10-day Avg,67004.0
Volume Past Day,(Light)
