,CMP
Price/Earnings (TTM),
Price/Sales (TTM),1.44239
Price/Book (MRQ),4.81818
Price/Cash Flow (TTM),24.16798
5yr Low,30.67
5yr High,76.65
5yr Avg Return,-0.03743333333333334
Short Int Current Month,994385.0
Short Int Prev Month,1467099.0
Short Int Pct of Float,0.024418099999999998
Days to Cover,2.91595
Float,40.73054
Shares Outstanding,41.00128
Institutions Holding Shares,345.0
% Held by Institutions,0.93472
FCF Growth 5yr,-2.030379079574624
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
