,CMP
% Above Low,0.38380000000000003
% Held by Institutions,0.9347
52-Wk Range,['30.67 - 67.67']
Annual Dividend $,0.6
Annual Dividend %,0.0141
Ask,49.75
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.3
Bid,37.56
Bid Size,1000.0
Closing Price,42.44
Day Change $,-0.06
Day Change %,-0.0014000000000000002
Day High,42.46
Day Low,41.82
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",-1.08
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.504
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,42.5
Shares Outstanding,41.0M
Short Interest,0.024399999999999998
Today's Open,42.0
Volume,139109.0
Volume 10-day Avg,317478.0
Volume Past Day,(Light)
