,DOW
Price/Earnings (TTM),6.68278
Price/Sales (TTM),0.6108
Price/Book (MRQ),2.00286
Price/Cash Flow (TTM),4.2624
5yr Low,21.95
5yr High,71.86
5yr Avg Return,-0.010024999999999997
EPS Growth 5yr,0.0778138
Revenue Growth 5yr,0.0268058
Dividend Growth 5yr,
Short Int Current Month,9833155.0
Short Int Prev Month,10079024.0
Short Int Pct of Float,0.013996
Days to Cover,1.5646
Float,702.7852
Shares Outstanding,703.7593
Institutions Holding Shares,1775.0
% Held by Institutions,0.6225229999999999
FCF Growth 5yr,0.30224606475293414
