,DOW
% Above Low,0.2016
% Held by Institutions,0.6225
52-Wk Range,['42.91 - 71.86']
Annual Dividend $,2.8
Annual Dividend %,0.054299999999999994
Ask,51.97
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,48.0
Bid Size,200.0
Closing Price,51.56
Day Change $,0.01
Day Change %,0.0002
Day High,51.82
Day Low,51.42
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",7.72
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.306
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,36.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.68
Prev Close,51.55
Shares Outstanding,703.8M
Short Interest,0.013999999999999999
Today's Open,51.5
Volume,1648145.0
Volume 10-day Avg,4765180.0
Volume Past Day,(Light)
