,CI
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.1351351351351351
Growth 1yr High Est,0.1185789726356219
Growth 1yr Consensus Est,0.1268570538853785
Growth 2yr Low Est,0.09787059787059782
Growth 2yr High Est,0.11401051636072945
Growth 2yr Consensus Est,0.10594055711566364
Growth 5yr Low Est,0.09826132549624733
Growth 5yr High Est,0.11047688850356746
Growth 5yr Consensus Est,0.1043691069999074
Growth 5yr Actual/Est,0.09867091405628597
Growth 3yr Historic,0.04789913295027376
