,CI
Price/Earnings (TTM),15.47391
Price/Sales (TTM),0.55008
Price/Book (MRQ),2.19476
Price/Cash Flow (TTM),10.28764
5yr Low,118.5
5yr High,331.05
5yr Avg Return,0.0924
EPS Growth 5yr,0.1695521
Revenue Growth 5yr,0.3442556
Dividend Growth 5yr,1.511886
Short Int Current Month,3082076.0
Short Int Prev Month,3596775.0
Short Int Pct of Float,0.0102446
Days to Cover,1.36317
Float,300.92
Shares Outstanding,305.739
Institutions Holding Shares,1932.0
% Held by Institutions,0.886511
FCF Growth 5yr,0.3076645165554501
