,CI
% Below High,0.0216
% Held by Institutions,0.8865000000000001
52-Wk Range,['191.74 - 331.05']
Annual Dividend $,4.48
Annual Dividend %,0.0138
Ask,353.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,290.0
Bid Size,200.0
Closing Price,323.9
Day Change $,4.06
Day Change %,0.0127
Day High,324.11
Day Low,319.95
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",20.93
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.27
Last (size),31.0
Last (time),5:00p ET 11/25/22
Market Cap,99.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.47
Prev Close,319.84
Shares Outstanding,305.7M
Short Interest,0.0102
Today's Open,322.07
Volume,921442.0
Volume 10-day Avg,2041367.0
Volume Past Day,(Light)
