,VTYX
% Below High,0.35090000000000005
% Held by Institutions,0.9601999999999999
52-Wk Range,['9.50 - 41.29']
Annual Dividend $,
Annual Dividend %,
Ask,26.8
Ask Size,600.0
B/A Ratio,1.8333333333333333
B/A Size,1100x600
Beta,
Bid,26.76
Bid Size,1100.0
Closing Price,26.8
Day Change $,-0.7
Day Change %,-0.0255
Day High,28.18
Day Low,26.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.79
Ex-dividend Date,No dividend
Historical Volatility,1.051
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,27.5
Shares Outstanding,56.6M
Short Interest,0.06570000000000001
Today's Open,27.35
Volume,537432.0
Volume 10-day Avg,395541.0
Volume Past Day,(Heavy Day)
