,SRI
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.44999999999999996
Growth 1yr High Est,-0.4
Growth 1yr Consensus Est,-0.425
Growth 2yr Low Est,-1.5583333333333336
Growth 2yr High Est,-1.5333333333333334
Growth 2yr Consensus Est,-1.5458333333333334
Growth 5yr Low Est,-1.1291666666666667
Growth 5yr High Est,-1.1031446540880503
Growth 5yr Consensus Est,-1.1161556603773586
Growth 5yr Actual/Est,3.63472846765825
Growth 3yr Historic,4.411564625850341
