,SRI
% Below High,0.08349999999999999
% Held by Institutions,1.0171999999999999
52-Wk Range,['13.64 - 25.87']
Annual Dividend $,
Annual Dividend %,
Ask,23.76
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,23.66
Bid Size,200.0
Day Change $,-0.8
Day Change %,-0.0326
Day High,24.52
Day Low,23.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.75
Ex-dividend Date,No dividend
Historical Volatility,0.537
Last (size),100.0
Last (time),3:15p ET 11/28/22
Market Cap,647.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,24.51
Price,23.71
Shares Outstanding,27.3M
Short Interest,0.014499999999999999
Today's Open,24.52
Volume Past Day,(Light)
